"","month","price","bedrooms","bathrooms","sqft_living","condition","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long"
"88","03",570000,3,1.75,1260,5,700,560,1905,0,98103,47.6823,-122.349
"89","09",272500,3,1.75,1540,4,1160,380,1980,0,98038,47.3624,-122.031
"90","11",329950,3,1.75,2080,3,1080,1000,1971,0,98108,47.5474,-122.295
"91","10",480000,4,2.5,3230,3,2520,710,2001,0,98001,47.3183,-122.253
"92","11",740500,3,3.5,4380,3,2780,1600,1900,1999,98117,47.6981,-122.368
"93","06",518500,3,3.5,1590,3,1590,0,2010,0,98103,47.6824,-122.347
"94","01",171800,4,2,1570,3,1570,0,1950,0,98168,47.4965,-122.303
"95","01",660000,3,2.5,2400,3,1560,840,1964,0,98177,47.7728,-122.386
"96","11",391500,3,2,1450,3,1450,0,1987,0,98034,47.7288,-122.226
"97","11",445000,4,1.75,2100,5,1720,380,1924,0,98118,47.5299,-122.266
"98","06",770000,3,2.25,2910,3,2910,0,1990,0,98052,47.6897,-122.098
"99","03",1450000,4,2.75,2750,3,1980,770,1914,1992,98004,47.6141,-122.212
"100","07",445000,3,2.25,2100,3,1620,480,1967,0,98178,47.5091,-122.244
"101","07",260000,4,2.25,2160,3,1360,800,1978,0,98023,47.3129,-122.39
"102","06",822500,5,3.5,2320,5,1720,600,1926,0,98103,47.6763,-122.352
"103","04",430000,4,2.5,2070,3,2070,0,2004,0,98065,47.5319,-121.85
"104","01",212000,3,1.75,1060,4,1060,0,1986,0,98092,47.2761,-122.152
"105","04",660500,4,2.25,2010,3,1440,570,1986,0,98027,47.5343,-122.054
"106","06",784000,3,3.5,3950,3,2460,1490,1989,0,98052,47.697,-122.072
"107","05",453246,3,2.5,2010,3,1390,620,2014,0,98029,47.5517,-121.998
"108","01",675000,4,3.5,2140,3,2140,0,2005,0,98107,47.6734,-122.38
"109","08",199000,3,1.75,1320,4,1320,0,1956,0,98003,47.3257,-122.296
"110","08",220000,4,1.75,2020,3,1010,1010,1968,0,98003,47.3309,-122.299
"111","05",452000,4,2.25,2590,4,1340,1250,1968,0,98028,47.7689,-122.266
"112","05",519950,3,2.25,1170,3,1170,0,2014,0,98107,47.6722,-122.381
"113","07",527700,5,2.5,2820,4,1550,1270,1968,0,98006,47.5707,-122.128
"114","02",5e+05,4,2.25,2030,4,1380,650,1961,0,98006,47.5495,-122.174
"115","12",921500,4,2.5,3670,4,3670,0,1994,0,98077,47.7421,-122.026
"116","08",430000,2,2.5,2420,3,2420,0,2007,0,98027,47.5262,-121.943
"117","10",258000,5,2,2260,4,1130,1130,1960,0,98032,47.3887,-122.286
"118","08",532170,3,2,1360,3,1360,0,1990,0,98103,47.6838,-122.353
"119","04",2250000,4,3.25,5180,3,3540,1640,2006,0,98006,47.562,-122.162
"120","11",650000,5,3.5,3960,3,2500,1460,1996,0,98056,47.525,-122.172
"121","08",320000,4,2.75,2640,3,1620,1020,1967,0,98023,47.3135,-122.369
"122","11",247000,3,2,1270,3,1270,0,1916,2013,98022,47.2086,-121.996
"123","10",320000,4,1.75,1760,4,1760,0,1968,0,98059,47.4715,-122.118
"124","05",255000,5,2.25,2060,3,1030,1030,1962,0,98146,47.4877,-122.335
"125","03",438000,3,1.75,1780,3,1780,0,1962,0,98034,47.7171,-122.193
"126","03",9e+05,3,2.5,3400,3,3400,0,2000,0,98075,47.6012,-122.023
"127","06",441000,3,2.75,1910,3,1160,750,1979,0,98034,47.7319,-122.224
"128","08",420000,3,2,2020,4,1010,1010,1975,0,98027,47.4582,-122.023
"129","12",370000,3,1.75,1580,3,1180,400,1976,0,98034,47.7209,-122.168
"130","02",269950,2,1.75,1340,5,700,640,1949,0,98198,47.408,-122.327
"131","03",807100,4,2.5,2680,3,2680,0,1999,0,98006,47.565,-122.125
"132","06",653000,3,2.5,2680,4,1610,1070,1979,0,98034,47.7028,-122.231
"133","06",371500,3,2,1370,5,1370,0,1964,0,98133,47.7458,-122.331
"134","03",284000,3,1.75,1560,3,1560,0,1954,0,98166,47.4776,-122.337
"135","01",272000,3,1.75,2160,4,1670,490,1978,0,98023,47.3026,-122.374
"136","05",313000,3,1.5,1340,3,1340,0,1955,0,98133,47.7658,-122.339
"137","01",917500,4,2.5,3880,3,2570,1310,1984,0,98033,47.6477,-122.182
"138","09",673000,4,2.25,2590,4,2590,0,1980,0,98006,47.5619,-122.125
"139","02",425000,3,2.5,1120,3,820,300,2008,0,98122,47.6106,-122.31
"140","07",399950,5,2.75,1970,3,1320,650,1986,0,98144,47.5868,-122.308
"141","11",269950,3,1.5,1950,4,1320,630,1975,0,98022,47.1976,-121.999
"142","07",260000,3,2.5,1670,3,1670,0,1988,0,98030,47.3505,-122.179
"143","04",470000,4,3,2380,4,1680,700,1925,0,98126,47.5384,-122.376
"144","06",589000,4,3,2440,5,2440,0,1961,0,98034,47.7044,-122.2
"145","07",163500,2,1.5,1050,3,1050,0,1996,0,98038,47.3848,-122.039
"146","09",835000,4,2.75,3130,3,2140,990,1993,0,98052,47.6993,-122.102
"147","11",1095000,5,3,4090,4,2090,2000,1986,0,98033,47.6627,-122.188
"148","04",269000,4,1.75,1490,4,1100,390,1969,0,98023,47.3099,-122.379
"149","05",560000,3,2.5,1900,3,1900,0,1987,0,98074,47.62,-122.043
"150","12",585188,3,2.25,2230,3,1430,800,1975,0,98052,47.6647,-122.153
"151","08",305000,3,1.75,1650,3,1220,430,1977,0,98034,47.726,-122.191
"152","09",799000,3,2.5,2140,4,2140,0,1959,0,98040,47.5505,-122.219
"153","06",4e+05,3,2.5,2180,4,1420,760,1962,0,98133,47.7606,-122.336
"154","05",256883,3,2.5,1690,3,1690,0,2003,0,98023,47.2779,-122.347
"155","11",423000,4,2,1970,5,1130,840,1920,0,98108,47.5511,-122.312
"156","07",465000,3,2.5,2150,3,2150,0,2007,0,98126,47.5488,-122.372
"157","01",440000,3,2.5,1910,3,1910,0,1997,0,98024,47.5385,-121.911
"158","10",385000,3,1.75,1350,4,1350,0,1969,0,98038,47.4058,-121.994
"159","11",297000,3,2.5,1940,3,1940,0,1994,0,98042,47.3777,-122.165
"160","08",226500,3,1.5,1300,4,900,400,1976,0,98023,47.3025,-122.37
"161","08",840000,4,1.75,2480,4,1630,850,1966,0,98040,47.5378,-122.219
"162","09",677900,3,2.5,2440,3,2440,0,2010,0,98052,47.7073,-122.114
"163","04",320000,4,2.25,1550,3,1550,0,1993,0,98038,47.354,-122.047
"164","07",625504,3,2.25,1270,3,1060,210,2014,0,98105,47.6647,-122.284
"165","05",592500,4,2.5,2240,3,2240,0,1983,0,98074,47.6143,-122.017
"166","01",465000,3,2.5,2714,3,2714,0,2005,0,98001,47.3185,-122.275
"167","05",477000,4,2.75,1720,3,1720,0,1978,0,98118,47.5458,-122.268
"168","02",1505000,5,3,3300,3,1870,1430,1957,1991,98040,47.5673,-122.21
"169","07",445838,3,2.5,2250,3,2250,0,2000,0,98146,47.5133,-122.379
"170","08",1072000,2,2.25,3900,3,1950,1950,1947,0,98144,47.5884,-122.291
"171","10",467000,2,1.5,1320,4,1320,0,1947,0,98177,47.7145,-122.367
"172","08",686000,4,2.5,2760,3,2760,0,1999,0,98075,47.5836,-122.026
"173","06",279950,3,2,1750,3,1350,400,1961,0,98198,47.398,-122.299
"174","09",527000,4,2.25,2330,3,2330,0,1987,0,98011,47.7663,-122.215
"175","09",325000,3,2.25,2220,4,1780,440,1966,0,98030,47.3758,-122.217
"176","09",328000,3,2.25,2020,3,2020,0,1994,0,98038,47.3828,-122.023
"177","06",390000,3,2.25,1250,5,1250,0,1942,0,98146,47.5123,-122.373
"178","03",479950,2,2,1510,3,1510,0,2005,0,98053,47.7076,-122.013
"179","05",264950,4,2.25,1720,4,1120,600,1978,0,98023,47.2922,-122.371
"180","03",516500,3,2.5,1480,3,1480,0,2004,0,98053,47.6794,-122.034
"181","04",655000,2,1.75,1450,3,1230,220,1915,1978,98166,47.4497,-122.375
"182","06",5e+05,4,2.75,2280,5,2280,0,1960,0,98059,47.5218,-122.164
"183","09",475000,3,1.5,2480,5,1620,860,1947,0,98108,47.5575,-122.303
"184","06",1025000,5,4,3760,3,3760,0,1983,0,98033,47.6489,-122.183
"185","04",416000,3,2,2220,5,1640,580,1976,0,98010,47.3459,-121.95
"186","07",8e+05,3,3.5,3830,3,3530,300,1993,0,98077,47.7641,-122.023
"187","12",225000,3,1.75,1430,4,1430,0,1968,0,98003,47.3173,-122.319
"188","02",363000,3,2.5,2740,3,2740,0,1990,0,98023,47.3076,-122.395
"189","09",2400000,4,2.5,3650,3,1830,1820,2000,0,98074,47.6338,-122.072
"190","02",181000,2,1.5,720,3,720,0,1954,0,98106,47.5218,-122.357
"191","03",250000,4,2,2010,4,2010,0,1976,0,98002,47.2785,-122.213
"192","04",481000,3,1.75,1560,4,770,790,1918,0,98103,47.6846,-122.345
"193","09",260000,3,2,1810,4,1240,570,1978,0,98032,47.3656,-122.278
"194","05",455000,4,2.5,3360,3,3360,0,2001,0,98058,47.4369,-122.111
"195","04",415000,3,2.25,1510,3,1510,0,1991,0,98045,47.4616,-121.711
"196","09",245000,3,2.5,1730,3,1730,0,1987,0,98030,47.3507,-122.178
"197","05",592500,2,2,1420,5,1420,0,1928,0,98115,47.6979,-122.32
"198","10",385000,4,1.75,2360,4,1180,1180,1955,0,98106,47.5278,-122.345
"199","02",315000,3,1.75,1580,4,1200,380,1974,0,98059,47.4756,-122.147
"200","08",693000,4,2.5,2460,3,2460,0,2006,0,98052,47.7048,-122.109
"201","10",237000,3,1.75,1270,4,1270,0,1960,0,98198,47.4207,-122.29
"202","12",525000,3,2.25,2100,3,1320,780,1979,0,98074,47.6154,-122.047
"203","05",290000,4,2.5,1700,4,1700,0,1988,0,98031,47.4045,-122.171
"204","04",272500,3,2.5,2070,3,1420,650,1979,0,98023,47.2988,-122.371
"205","05",2900000,4,3.25,5050,3,4750,300,1982,2008,98004,47.6312,-122.223
"206","10",1365000,4,4.75,5310,4,5310,0,1989,0,98077,47.7285,-122.042
"207","11",331000,3,1.75,1080,3,580,500,1954,2003,98199,47.6601,-122.4
"208","03",365000,3,2.5,2653,3,2653,0,2006,0,98031,47.4145,-122.166
"209","01",450000,3,2,2290,5,2290,0,1960,0,98058,47.4672,-122.165
"210","11",770000,4,2.75,3820,3,2850,970,2014,0,98028,47.7618,-122.261
"211","05",455000,4,2.5,2210,3,2210,0,1997,0,98038,47.3828,-122.071
"212","05",405000,3,1.75,2390,3,1240,1150,1908,0,98118,47.5362,-122.268
"213","07",304900,4,1.75,2600,4,1610,990,1969,0,98031,47.3954,-122.206
"214","05",2050000,5,3,3830,5,2630,1200,1905,1994,98122,47.6166,-122.287
"215","06",780000,4,2.5,3500,3,3500,0,2005,0,98053,47.6811,-122.025
"216","04",330000,3,3,2420,4,1740,680,1988,0,98028,47.7486,-122.23
"217","09",370000,4,2.5,2720,3,2720,0,1992,0,98030,47.3846,-122.169
"218","10",467000,5,2.25,2500,3,1850,650,1979,0,98072,47.7564,-122.144
"219","02",405000,3,1.75,1670,3,1140,530,1980,0,98034,47.7198,-122.193
"220","07",675000,5,2.25,2900,3,1450,1450,1985,0,98006,47.5461,-122.151
"221","07",389999,4,2.5,1890,4,1890,0,1968,0,98166,47.4281,-122.343
"222","02",630000,4,1.75,2950,4,1780,1170,1975,0,98034,47.7128,-122.223
"223","10",360000,4,2.5,2160,3,2160,0,1992,0,98001,47.3341,-122.255
"224","10",580000,4,3,3280,3,2270,1010,1986,0,98056,47.5399,-122.181
"225","07",550000,3,2,1970,5,1270,700,1929,0,98126,47.5717,-122.375
"226","07",879000,4,2.5,3360,3,3360,0,1994,0,98075,47.5951,-122.017
"227","08",265000,3,2,1320,3,1320,0,1993,0,98042,47.3536,-122.144
"228","03",446500,3,2.5,2650,3,2650,0,1990,0,98059,47.5084,-122.154
"229","06",404000,3,1.5,2030,3,1330,700,1963,0,98108,47.5586,-122.311
"230","05",267500,3,1.75,1590,3,1090,500,1957,0,98188,47.4427,-122.274
"231","06",3075000,4,5,4550,3,2600,1950,2002,0,98074,47.6053,-122.077
"232","08",335000,3,2.5,2440,3,2440,0,1998,0,98003,47.3494,-122.301
"233","06",576000,3,2.5,1940,4,970,970,1948,0,98117,47.6933,-122.393
"234","04",208633,3,2.5,2040,3,2040,0,2006,0,98038,47.3537,-122
"235","01",315000,3,2.25,2200,4,1120,1080,1964,0,98166,47.476,-122.337
"236","02",725000,3,1.75,1920,4,960,960,1913,0,98112,47.6239,-122.298
"237","04",550000,4,2.75,1800,4,1400,400,1965,0,98177,47.7776,-122.384
"238","06",610750,4,2.25,2180,3,2180,0,1984,0,98074,47.6459,-122.058
"239","01",665000,4,2.75,3320,5,2220,1100,1960,0,98056,47.5376,-122.18
"240","02",834000,4,2.5,2370,5,1980,390,1928,0,98144,47.601,-122.294
"241","10",201000,5,1.75,1660,3,1660,0,1915,0,98065,47.529,-121.837
"242","05",2384000,5,2.5,3650,5,3370,280,1921,0,98119,47.6345,-122.367
"243","06",1384000,4,3.25,4290,3,2690,1600,1997,0,98006,47.5503,-122.102
"244","12",1400000,4,3.25,4290,3,2690,1600,1997,0,98006,47.5503,-122.102
"245","11",305000,4,2.25,1950,3,1350,600,1979,0,98058,47.4441,-122.125
"246","04",487000,3,2,2590,5,1720,870,1948,0,98133,47.7357,-122.333
"247","05",390000,3,2.5,1930,4,1930,0,1988,0,98042,47.346,-122.157
"248","05",819900,5,2.75,3150,3,3150,0,2013,0,98052,47.6759,-122.151
"249","10",520000,3,2.25,2030,3,2030,0,1984,0,98027,47.5162,-122.057
"250","07",230000,3,2,1450,3,1450,0,2003,0,98001,47.2639,-122.252
"251","02",240000,3,1.75,1510,3,1510,0,1969,0,98023,47.2929,-122.371
"252","10",274975,3,2.5,3030,3,3030,0,1987,0,98077,47.7721,-122.093
"253","09",740000,4,2,2050,4,2050,0,1922,0,98102,47.644,-122.319
"254","07",790000,3,2.25,2370,4,1590,780,1977,0,98005,47.592,-122.166
"255","09",880000,4,3.5,2800,3,1890,910,1951,2002,98105,47.669,-122.275
"256","07",295000,3,2,1810,3,1810,0,1991,0,98022,47.1913,-122.012
"257","07",940000,4,2,2490,5,2490,0,1968,0,98040,47.5639,-122.217
"258","10",260000,4,2.5,1960,3,1960,0,2003,0,98038,47.3483,-122.052
"259","06",559900,3,2.75,2930,3,1860,1070,2004,0,98072,47.7648,-122.164
"260","07",791500,4,2,1510,5,1510,0,1911,0,98103,47.6794,-122.357
"261","08",265000,3,1.75,1420,3,1420,0,1954,0,98133,47.7535,-122.354
"262","05",245000,3,1.75,1740,3,1740,0,1954,0,98178,47.4945,-122.22
"263","04",485000,4,1.75,2560,4,2560,0,1962,0,98052,47.6945,-122.093
"264","11",684000,4,3.5,3040,3,2420,620,2010,0,98059,47.5222,-122.157
"265","09",425000,3,1.75,2500,3,1300,1200,1957,0,98125,47.7222,-122.32
"266","10",309600,4,1.75,1275,4,1275,0,1991,0,98070,47.3796,-122.49
"267","07",552250,4,2.5,2580,3,2580,0,2002,0,98065,47.5374,-121.875
"268","10",206600,3,2,1390,4,1390,0,1987,0,98030,47.3581,-122.173
"269","04",387000,4,1.75,2500,3,1250,1250,1973,0,98155,47.7713,-122.307
"270","09",855000,4,2.75,2270,3,2270,0,1965,0,98040,47.5603,-122.222
"271","03",252000,4,1.5,1550,4,1050,500,1969,0,98001,47.3117,-122.27
"272","06",375000,4,1.75,2200,5,1100,1100,1955,0,98118,47.543,-122.28
"273","08",3e+05,4,2.5,1910,3,1910,0,2005,0,98038,47.3607,-122.034
"274","08",679900,3,2.5,2440,3,1980,460,2000,0,98116,47.565,-122.381
"275","06",463000,3,2.5,1640,3,1640,0,1992,0,98053,47.6359,-121.974
"276","08",380000,5,2.5,2760,4,2760,0,1978,0,98059,47.4769,-122.141
"277","12",329500,4,2.5,1820,3,1820,0,1994,0,98038,47.3845,-122.029
"278","08",604950,3,2.5,2110,3,1340,770,2013,0,98033,47.6743,-122.184
"279","09",795000,5,2.5,3040,4,1640,1400,1966,0,98006,47.5651,-122.164
"280","01",465000,3,2,1840,3,1840,0,1994,0,98045,47.4853,-121.709
"281","03",673000,4,2.5,2990,3,2990,0,2002,0,98166,47.4508,-122.359
"282","10",810000,4,2.5,3520,3,3520,0,1991,0,98074,47.6375,-122.016
"283","04",785000,4,2.75,2440,4,1910,530,1989,0,98075,47.5944,-122.042
"284","11",338000,4,3,2090,3,1370,720,1986,0,98056,47.4888,-122.182
"285","12",280000,3,2.25,1430,3,1430,0,1993,0,98056,47.5112,-122.19
"286","10",315000,4,2.25,2180,5,1100,1080,1954,0,98133,47.7711,-122.341
"287","03",530000,4,2.25,2180,5,1100,1080,1954,0,98133,47.7711,-122.341
"288","12",380000,5,3,3450,3,3450,0,2004,0,98023,47.2813,-122.345
"289","08",297000,3,2.25,1450,3,1450,0,1994,0,98056,47.5038,-122.189
"290","05",730000,4,2.5,3230,3,3230,0,2004,0,98075,47.5823,-121.97
"291","06",450000,3,1.75,1640,3,1110,530,1940,0,98125,47.7164,-122.304
"292","10",275000,3,3,1590,3,1060,530,1997,0,98038,47.3624,-122.045
"293","04",595000,4,2,2020,3,2020,0,1960,0,98115,47.6831,-122.329
"294","04",435000,3,1.5,1300,3,1300,0,1904,2014,98144,47.592,-122.307
"295","09",270000,2,1.5,1380,1,1380,0,1954,0,98011,47.7461,-122.195
"296","08",950000,3,3,4040,3,3030,1010,1986,0,98077,47.7268,-122.06
"297","03",389000,4,2.25,2130,3,2130,0,2001,0,98019,47.7237,-121.959
"298","01",560000,4,2.25,2550,3,1580,970,1968,0,98052,47.6283,-122.095
"299","07",1350000,5,3.5,4800,3,3480,1320,1998,0,98006,47.5543,-122.148
"300","11",799000,4,2.25,2510,4,2510,0,1969,0,98040,47.5483,-122.226
"301","06",365500,3,2,1410,4,1410,0,1983,0,98072,47.7591,-122.146
"302","05",252350,3,2,1650,3,1160,490,1979,0,98058,47.4612,-122.169
"303","09",403950,4,2.5,2120,3,2120,0,1993,0,98146,47.4987,-122.365
"304","08",385000,4,1.5,2040,3,1380,660,1954,0,98177,47.772,-122.358
"305","09",490000,3,2.75,1980,4,1980,0,1979,0,98008,47.6109,-122.114
"306","06",330000,3,2.5,1600,3,1600,0,2005,0,98019,47.7736,-121.901
"307","05",927000,4,2.75,3300,3,3300,0,1953,0,98004,47.6294,-122.218
"308","07",1118000,4,2.5,3840,4,3840,0,1983,0,98040,47.5634,-122.213
"309","03",530000,5,2.25,2720,4,1500,1220,1958,0,98008,47.5976,-122.118
"310","06",365000,4,2,1940,1,1940,0,1962,0,98006,47.5722,-122.129
"311","06",378750,3,2.5,2160,3,1260,900,1909,2011,98118,47.5644,-122.289
"312","06",269900,4,1.75,1530,4,1530,0,1968,0,98058,47.4556,-122.157
"313","03",557000,3,3.5,1710,3,1290,420,2008,0,98122,47.6055,-122.305
"314","08",360000,4,1.75,3730,4,2150,1580,1974,0,98022,47.1775,-122.022
"315","02",437000,3,2.5,1750,3,1750,0,1994,0,98045,47.4807,-121.779
"316","06",322500,4,2.5,1820,3,1820,0,1994,0,98038,47.3845,-122.032
"317","09",650000,3,3.25,1510,3,1330,180,2001,0,98116,47.5815,-122.402
"318","08",450000,3,2,1290,3,1290,0,2001,0,98103,47.6609,-122.344
"319","04",278500,3,2,1570,3,1570,0,1998,0,98092,47.3163,-122.188
"320","04",364950,4,2.5,1930,3,1930,0,1995,0,98055,47.4309,-122.191
"321","09",840000,4,3.5,2840,4,2840,0,1986,0,98038,47.401,-122.026
"322","03",268000,3,2.5,1550,3,1550,0,1991,0,98031,47.404,-122.191
"323","11",632925,3,2.5,2990,4,2990,0,1978,0,98077,47.7718,-122.095
"324","07",577500,3,2.5,2000,3,2000,0,1995,0,98034,47.7067,-122.2
"325","02",339000,4,1.5,2390,3,2390,0,1920,0,98178,47.504,-122.227
"326","09",570000,3,1.75,2910,4,1530,1380,1967,0,98052,47.7015,-122.164
"327","06",563500,4,1.75,2085,3,1610,475,1964,0,98024,47.5753,-121.95
"328","01",423000,4,2.25,2200,5,1290,910,1962,0,98133,47.7448,-122.333
"329","12",355000,3,2.25,1860,3,1860,0,2012,0,98019,47.7318,-121.982
"330","07",1550000,5,4.25,6070,3,6070,0,1999,0,98024,47.5954,-121.95
"331","07",625000,3,1.75,1600,5,1600,0,1955,0,98006,47.5724,-122.179
